Share_Issued_2023,Share_Issued_2022,Share_Issued_2021,Share_Issued_2020,Stockholders_Equity_2023,Stockholders_Equity_2022,Stockholders_Equity_2021,Stockholders_Equity_2020,Total_Debt_2023,Total_Debt_2022,Total_Debt_2021,Total_Debt_2020,Free_Cash_Flow_2023,Free_Cash_Flow_2022,Free_Cash_Flow_2021,Free_Cash_Flow_2020,Operating_Cash_Flow_2023,Operating_Cash_Flow_2022,Operating_Cash_Flow_2021,Operating_Cash_Flow_2020,Basic_EPS_2023,Basic_EPS_2022,Basic_EPS_2021,Basic_EPS_2020,Net_Income_2023,Net_Income_2022,Net_Income_2021,Net_Income_2020,Total_Revenue_2023,Total_Revenue_2022,Total_Revenue_2021,Total_Revenue_2020,ticker,Share_Issued_2019,Stockholders_Equity_2019,Total_Debt_2019,Free_Cash_Flow_2019,Operating_Cash_Flow_2019,Basic_EPS_2019,Net_Income_2019,Total_Revenue_2019
292747000.0,295000000.0,302000000.0,306000000.0,5845000000.0,5289000000.0,5389000000.0,4873000000.0,2735000000.0,2769000000.0,2729000000.0,2359000000.0,1474000000.0,1021000000.0,1296000000.0,802000000.0,1772000000.0,1312000000.0,1485000000.0,921000000.0,4.22,4.19,3.98,2.33,1240000000.0,1254000000.0,1210000000.0,719000000.0,6833000000.0,6848000000.0,6319000000.0,5339000000.0,A,,,,,,,,
,176969091.0,184099748.0,185978069.0,,5058000000.0,4638000000.0,3287000000.0,,1807000000.0,1727000000.0,2465000000.0,,342000000.0,530000000.0,41000000.0,,822000000.0,920000000.0,394000000.0,,-0.68,2.3,-0.91,,-102000000.0,429000000.0,-170000000.0,,12451000000.0,12152000000.0,9286000000.0,AA,185580166.0,4082000000.0,1800000000.0,307000000.0,686000000.0,-6.07,-1125000000.0,10433000000.0
,125000000.0,125000000.0,125012500.0,,952326423.0,931342833.0,11155.0,,1500000.0,,147385.0,,-2211528.0,-1413553.0,,,-2211528.0,-1413553.0,,,0.17,0.13,,,20983590.0,15849072.0,,,0.0,0.0,,AAC,,,,,,,,
,63829698.0,63339198.0,63286360.0,,143099333.0,187769092.0,198404863.0,,36449192.0,40717267.0,47778952.0,,-16232225.0,-36285274.0,-32783767.0,,-14613887.0,-31833685.0,-27873360.0,,-1.52,-1.14,-3.14,,-47892909.0,-33649593.0,-92198032.0,,206820874.0,202209465.0,162167547.0,AACG,62942436.0,300239664.0,25547017.0,-59161375.0,-57876559.0,-5.04,-122154398.0,97770167.0
,20709500.0,20709500.0,,,147399535.0,150910477.0,,,251754.0,,,,-913835.0,,,,-913835.0,,,,-0.63452,,,,-3622794.0,,,,0.0,,,AACI,,,,,,,,
,56250000.0,62937500.0,,,8961.0,12503.0,,,233243.0,181859.0,,,0.0,,,,0.0,,,,-5.6e-05,,,,-3542.0,,,,0.0,,,AACT,,,,,,,,
,24435007.0,20894695.0,20838292.0,,158378000.0,136406000.0,-12432000.0,,1661000.0,605000.0,10256000.0,,-50084000.0,-22469000.0,-12701000.0,,-49640000.0,-22423000.0,-12701000.0,,-2.69,-12.41,-0.214269,,-60513000.0,-110090000.0,-3478000.0,,15216000.0,1000000.0,14000000.0,AADI,,,,,,,,
,28186827.0,31479419.0,33517018.0,,217340000.0,224127000.0,246270000.0,,255750000.0,125680000.0,166654000.0,,-1375000.0,4691000.0,25914000.0,,-1375000.0,4691000.0,25914000.0,,0.09,-0.38,-2.0,,5426000.0,-9515000.0,-67716000.0,,30532000.0,4384000.0,-55101000.0,AAIC,36755387.0,327248000.0,74328000.0,46565000.0,46565000.0,0.31,13742000.0,28757000.0
,650642461.0,647727595.0,621479522.0,,-5799000000.0,-7340000000.0,-6867000000.0,,43687000000.0,46152000000.0,41021000000.0,,-373000000.0,496000000.0,-8501000000.0,,2173000000.0,704000000.0,-6543000000.0,,0.2,-3.09,-18.36,,127000000.0,-1993000000.0,-8885000000.0,,48971000000.0,29882000000.0,17337000000.0,AAL,428202506.0,-118000000.0,33444000000.0,-453000000.0,3815000000.0,3.8,1686000000.0,45768000000.0
,5834899.0,5808119.0,5042551.0,,-89890000.0,-76528000.0,-166578000.0,,52976000.0,859000.0,675000.0,,-27124000.0,-18187000.0,18520000.0,,-27064000.0,-17676000.0,18606000.0,,-3.317647,24.082353,14.341176,,-10812000.0,-6004000.0,39821000.0,,563000.0,0.0,0.0,AAMC,4925200.0,-207928000.0,4483000.0,-7039000.0,-6744000.0,-1.041176,-2613000.0,15762000.0
,22400894.0,22400894.0,22400894.0,,102193000.0,141286000.0,145060000.0,,35747000.0,33738000.0,33738000.0,,6327000.0,981000.0,8738000.0,,6453000.0,1088000.0,8971000.0,,0.06,0.19,0.58,,1525000.0,4281000.0,12169000.0,,187851000.0,199554000.0,195348000.0,AAME,22400894.0,118394000.0,33738000.0,-1876000.0,-1807000.0,-0.04,-386000.0,198179000.0
,36100011.0,35558714.0,35099571.0,,695402000.0,718166000.0,711325000.0,,738814000.0,319834000.0,279789000.0,,62452000.0,43336000.0,286732000.0,,170432000.0,136040000.0,355769000.0,,-0.17,3.33,-7.85,,-5280000.0,109934000.0,-265912000.0,,2249434000.0,1845504000.0,1734919000.0,AAN,33778509.0,837781000.0,676837000.0,106045000.0,185977000.0,0.83186,28099000.0,1784477000.0
,28622000.0,27323000.0,25110000.0,,184670000.0,254570000.0,277891000.0,,150021000.0,142648000.0,154921000.0,,-18259000.0,-22304000.0,-63572000.0,,-14022000.0,-11644000.0,-44009000.0,,-2.38,-2.01,-2.67,,-66397000.0,-54162000.0,-58452000.0,,222818000.0,211565000.0,234623000.0,AAOI,20140000.0,273794000.0,134256000.0,-33871000.0,-1754000.0,-3.31,-66049000.0,190872000.0
,80137776.0,78791977.0,78337150.0,,560714000.0,466170000.0,350865000.0,,71004000.0,40000000.0,,,-14706000.0,5821000.0,61012000.0,,61318000.0,61183000.0,128814000.0,,1.26,0.746667,1.006667,,100376000.0,58758000.0,79009000.0,,888788000.0,534517000.0,514551000.0,AAON,78117772.0,290140000.0,,60759000.0,97925000.0,0.686667,53711000.0,469333000.0
