Share_Issued_2023,Share_Issued_2022,Share_Issued_2021,Share_Issued_2020,Share_Issued_2019,Stockholders_Equity_2023,Stockholders_Equity_2022,Stockholders_Equity_2021,Stockholders_Equity_2020,Stockholders_Equity_2019,Total_Debt_2023,Total_Debt_2022,Total_Debt_2021,Total_Debt_2020,Total_Debt_2019,Free_Cash_Flow_2023,Free_Cash_Flow_2022,Free_Cash_Flow_2021,Free_Cash_Flow_2020,Free_Cash_Flow_2019,Operating_Cash_Flow_2023,Operating_Cash_Flow_2022,Operating_Cash_Flow_2021,Operating_Cash_Flow_2020,Operating_Cash_Flow_2019,Basic_EPS_2023,Basic_EPS_2022,Basic_EPS_2021,Basic_EPS_2020,Net_Income_2023,Net_Income_2022,Net_Income_2021,Net_Income_2020,Total_Revenue_2023,Total_Revenue_2022,Total_Revenue_2021,Total_Revenue_2020,ticker,Basic_EPS_2019,Net_Income_2019,Total_Revenue_2019,Share_Issued_2024,Stockholders_Equity_2024,Total_Debt_2024,Free_Cash_Flow_2024,Operating_Cash_Flow_2024,Basic_EPS_2024,Net_Income_2024,Total_Revenue_2024
292123241.0,295000000.0,302000000.0,306000000.0,,5845000000.0,5305000000.0,5389000000.0,4873000000.0,,2735000000.0,2769000000.0,2729000000.0,2359000000.0,,1474000000.0,1021000000.0,1297000000.0,802000000.0,,1772000000.0,1312000000.0,1485000000.0,921000000.0,,4.22,4.19,3.98,2.33,1240000000.0,1254000000.0,1210000000.0,719000000.0,6833000000.0,6848000000.0,6319000000.0,5339000000.0,A,,,,,,,,,,,
178472464.0,176969091.0,184099748.0,185978069.0,,4251000000.0,5076000000.0,4672000000.0,3311000000.0,,1915000000.0,1866000000.0,1866000000.0,2624000000.0,,-440000000.0,342000000.0,530000000.0,41000000.0,,91000000.0,822000000.0,920000000.0,394000000.0,,-3.65,-0.57,2.3,-0.91,-651000000.0,-123000000.0,429000000.0,-170000000.0,10551000000.0,12451000000.0,12152000000.0,9286000000.0,AA,,,,,,,,,,,
64585618.0,63829698.0,63339198.0,63286360.0,,113037868.0,143099333.0,187769092.0,198404863.0,,22606871.0,36449192.0,40717267.0,47778952.0,,6511372.0,-16232225.0,-36285274.0,-32783767.0,,8751473.0,-14613887.0,-31833685.0,-27873360.0,,-1.08,-1.52,-1.14,-3.14,-33660245.0,-47892909.0,-33649593.0,-92198032.0,221618968.0,206820874.0,202209465.0,162167547.0,AACG,,,,,,,,,,,
8072849.0,20709500.0,20709500.0,,,16830794.0,147399535.0,150910477.0,,,2564439.0,251754.0,,,,-1860042.0,-913835.0,,,,-1860042.0,-913835.0,,,,-0.02,-0.17,,,-320150.0,-3622794.0,,,0.0,0.0,,,AACI,,,,,,,,,,,
62500000.0,62937500.0,62937500.0,,,502674292.0,8961.0,12503.0,,,5000000.0,233243.0,181859.0,,,-1352509.0,0.0,,,,-1352509.0,0.0,,,,0.36,-5.6e-05,,,16915460.0,-3542.0,,,0.0,0.0,,,AACT,,,,,,,,,,,
24554205.0,24435007.0,20894695.0,20838292.0,,105195000.0,158378000.0,136406000.0,-12432000.0,,1267000.0,1661000.0,605000.0,10256000.0,,-63635000.0,-50084000.0,-22469000.0,-12701000.0,,-59663000.0,-49640000.0,-22423000.0,-12701000.0,,-2.44,-2.69,-12.41,-0.214269,-65765000.0,-60513000.0,-110090000.0,-3478000.0,24354000.0,15216000.0,1000000.0,14000000.0,AADI,,,,,,,,,,,
654273192.0,650642461.0,647727595.0,621479522.0,,-5202000000.0,-5799000000.0,-7340000000.0,-6867000000.0,,40663000000.0,43687000000.0,46177000000.0,41021000000.0,,1207000000.0,-373000000.0,496000000.0,-8674000000.0,,3803000000.0,2173000000.0,704000000.0,-6543000000.0,,1.26,0.2,-3.09,-18.36,822000000.0,127000000.0,-1993000000.0,-8885000000.0,52788000000.0,48971000000.0,29882000000.0,17337000000.0,AAL,,,,,,,,,,,
4684485.0,5834899.0,5808119.0,5042551.0,,-125843000.0,-89890000.0,-76528000.0,-166578000.0,,900000.0,52976000.0,859000.0,675000.0,,-11789000.0,-28606000.0,-18187000.0,18520000.0,,-11773000.0,-27064000.0,-17676000.0,18606000.0,,-11.12,-3.317647,-1.764021,14.341176,-32546000.0,-10812000.0,81957000.0,39821000.0,-17356000.0,563000.0,11588000.0,0.0,AAMC,,,,,,,,,,,
,22400894.0,22400894.0,22400894.0,22400894.0,,102193000.0,141286000.0,145060000.0,118394000.0,,35747000.0,33738000.0,33738000.0,33738000.0,,6327000.0,981000.0,8738000.0,-1876000.0,,6453000.0,1088000.0,8971000.0,-1807000.0,-0.03,0.06,0.19,0.58,,1525000.0,4281000.0,12169000.0,,187851000.0,199554000.0,195348000.0,AAME,,-386000.0,198179000.0,,,,,,,,
36656650.0,36100011.0,35558714.0,35099571.0,,686138000.0,695402000.0,718166000.0,711325000.0,,696655000.0,738814000.0,319834000.0,279789000.0,,85999000.0,62452000.0,43336000.0,286732000.0,,180414000.0,170432000.0,136040000.0,355769000.0,,0.09,-0.17,3.33,-7.85,2823000.0,-5280000.0,109934000.0,-265912000.0,2139890000.0,2249434000.0,1845504000.0,1734919000.0,AAN,,,,,,,,,,,
